code,industri,sub-industri
AALI,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
ABBA,Media,Penerbitan
ABDA,Asuransi,Asuransi Umum
ABMM,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor
ACES,Ritel Khusus,Ritel Barang Rumah Tangga
ACST,Konstruksi Bangunan,Konstruksi Bangunan
ADES,Minuman,Minuman Ringan
ADHI,Konstruksi Bangunan,Konstruksi Bangunan
ADMF,Pembiayaan Konsumen,Pembiayaan Konsumen
ADMG,Barang Kimia,Barang Kimia Dasar
ADRO,Batu Bara,Produksi Batu Bara
AGAR,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
AGII,Barang Kimia,Barang Kimia Dasar
AIMS,Batu Bara,Produksi Batu Bara
AISA,Makanan Olahan,Makanan Olahan
ALKA,Logam & Mineral,Alumunium
ALMI,Logam & Mineral,Alumunium
ALTO,Minuman,Minuman Ringan
AMAG,Asuransi,Asuransi Umum
AMAN,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
AMAR,Bank,Bank
AMFG,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
AMIN,Mesin,Mesin & Komponen Perindustrian
AMOR,Jasa Investasi,Manajemen Investasi
AMRT,Perdagangan Ritel Barang Primer,Supermarket
ANDI,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
ANJT,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
ANTM,Logam & Mineral,Logam & Mineral Lainnya
APEX,"Pendukung Minyak, Gas & Batu Bara",Jasa Pengeboran Minyak & Gas
APIC,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
APII,Mesin,Mesin & Komponen Perindustrian
APLI,Barang Kimia,Barang Kimia Khusus
APLN,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
ARCI,Logam & Mineral,Emas
ARGO,Pakaian & Barang Mewah,Tekstil
ARII,Batu Bara,Produksi Batu Bara
ARKA,Mesin,Mesin & Komponen Perindustrian
ARMY,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
ARNA,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
ARTA,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
ARTO,Bank,Bank
ASBI,Asuransi,Asuransi Umum
ASDM,Asuransi,Asuransi Umum
ASGR,Jasa Komersial,Jasa Pendukung Bisnis
ASII,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor
ASJT,Asuransi,Asuransi Umum
ASMI,Asuransi,Asuransi Umum
ASPI,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
ASRI,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
ASRM,Asuransi,Asuransi Umum
ASSA,Pengangkutan Darat Penumpang,Transportasi Jalanan
ATIC,Jasa & Konsultan TI,Jasa & Konsultan TI
AUTO,Komponen Otomotif,Suku Cadang Otomotif
AVIA,Barang Kimia,Barang Kimia Khusus
AYLS,Material Konstruksi,Material Konstruksi
BABP,Bank,Bank
BACA,Bank,Bank
BAJA,Logam & Mineral,Baja & Besi
BALI,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
BANK,Bank,Bank
BAPA,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BAPI,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BATA,Pakaian & Barang Mewah,Alas Kaki
BAYU,Pariwisata & Rekreasi,Agen Perjalanan
BBCA,Bank,Bank
BBHI,Bank,Bank
BBKP,Bank,Bank
BBMD,Bank,Bank
BBNI,Bank,Bank
BBRI,Bank,Bank
BBRM,Batu Bara,Distribusi Batu Bara
BBSI,Bank,Bank
BBSS,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BBTN,Bank,Bank
BBYB,Bank,Bank
BCAP,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
BCIC,Bank,Bank
BCIP,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BDMN,Bank,Bank
BEBS,Material Konstruksi,Material Konstruksi
BEEF,Makanan Olahan,Makanan Olahan
BEKS,Bank,Bank
BELL,Pakaian & Barang Mewah,Tekstil
BESS,Batu Bara,Distribusi Batu Bara
BEST,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BFIN,Pembiayaan Konsumen,Pembiayaan Konsumen
BGTG,Bank,Bank
BHAT,Asuransi,Asuransi Jiwa
BHIT,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor
BIKA,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BIMA,Pakaian & Barang Mewah,Alas Kaki
BINA,Bank,Bank
BINO,Jasa Komersial,Peralatan Kantor
BIPI,Minyak & Gas,Produksi & Penyulingan Minyak & Gas
BIPP,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BIRD,Pengangkutan Darat Penumpang,Transportasi Jalanan
BISI,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
BJBR,Bank,Bank
BJTM,Bank,Bank
BKDP,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BKSL,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BKSW,Bank,Bank
BLTA,Logistik & Pengantaran,Logistik & Pengantaran
BLTZ,Pariwisata & Rekreasi,Fasilitas Rekreasi & Olah Raga
BLUE,Jasa Komersial,Peralatan Kantor
BMAS,Bank,Bank
BMHS,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan
BMRI,Bank,Bank
BMSR,Barang Kimia,Barang Kimia Dasar
BMTR,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor
BNBA,Bank,Bank
BNBR,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor
BNGA,Bank,Bank
BNII,Bank,Bank
BNLI,Bank,Bank
BOBA,Makanan Olahan,Makanan Olahan
BOGA,Ritel Khusus,Ritel Otomotif
BOLA,Pariwisata & Rekreasi,Fasilitas Rekreasi & Olah Raga
BOLT,Komponen Otomotif,Suku Cadang Otomotif
BOSS,Batu Bara,Produksi Batu Bara
BPFI,Pembiayaan Konsumen,Pembiayaan Konsumen
BPII,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
BPTR,Pengangkutan Darat Penumpang,Transportasi Jalanan
BRAM,Komponen Otomotif,Ban
BRIS,Bank,Bank
BRMS,Logam & Mineral,Logam & Mineral Lainnya
BRNA,Wadah & Kemasan,Wadah & Kemasan
BRPT,Barang Kimia,Barang Kimia Dasar
BSDE,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
BSIM,Bank,Bank
BSML,Batu Bara,Distribusi Batu Bara
BSSR,Batu Bara,Produksi Batu Bara
BSWD,Bank,Bank
BTEK,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
BTEL,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel
BTON,Logam & Mineral,Baja & Besi
BTPN,Bank,Bank
