code,name,listing_date,shares,listing_boards
PRIM,Royal Prima Tbk.,2018-05-15T00:00:00,3393434905,Pengembangan
PSAB,J Resources Asia Pasifik Tbk.,2003-04-22T00:00:00,26460000000,Pengembangan
PSDN,Prasidha Aneka Niaga Tbk,1994-10-18T00:00:00,1440000000,PENGEMBANGAN
PSGO,Palma Serasih Tbk.,2019-11-25T00:00:00,18850000000,PENGEMBANGAN
PSKT,Red Planet Indonesia Tbk.,1995-09-19T00:00:00,10351231636,Pengembangan
PSSI,Pelita Samudera Shipping Tbk.,2017-12-05T00:00:00,5417063153,Utama
PTBA,Bukit Asam Tbk.,2002-12-23T00:00:00,11520659250,Utama
PTDU,Djasa Ubersakti Tbk.,2020-12-08T00:00:00,1500000000,Pengembangan
PTIS,Indo Straits Tbk.,2011-07-12T00:00:00,550165300,Utama
PTPP,PP (Persero) Tbk.,2010-02-09T00:00:00,6199897354,Utama
PTPW,Pratama Widya Tbk.,2020-02-07T00:00:00,878187500,Pengembangan
PTRO,Petrosea Tbk.,1990-05-21T00:00:00,1008605000,Utama
PTSN,Sat Nusapersada Tbk,2007-11-08T00:00:00,5314344000,UTAMA
PTSP,Pioneerindo Gourmet Internatio,1994-05-30T00:00:00,220808000,PENGEMBANGAN
PUDP,Pudjiadi Prestige Tbk.,1994-11-18T00:00:00,329560000,UTAMA
PURA,Putra Rajawali Kencana Tbk.,2020-01-22T00:00:00,5862780409,Pengembangan
PURE,Trinitan Metals and Minerals T,2019-10-09T00:00:00,1375181505,Utama
PURI,Puri Global Sukses Tbk.,2020-09-08T00:00:00,1000000000,Pengembangan
PWON,Pakuwon Jati Tbk.,1989-10-09T00:00:00,48159602400,UTAMA
PYFA,Pyridam Farma Tbk,2001-10-16T00:00:00,535080000,Pengembangan
PZZA,Sarimelati Kencana Tbk.,2018-05-23T00:00:00,3021875000,UTAMA
RAJA,Rukun Raharja Tbk.,2006-04-19T00:00:00,4227082500,Utama
RALS,Ramayana Lestari Sentosa Tbk.,1996-07-24T00:00:00,7096000000,Utama
RANC,Supra Boga Lestari Tbk.,2012-06-07T00:00:00,1564487500,Utama
RBMS,Ristia Bintang Mahkotasejati T,1997-12-19T00:00:00,2656212826,UTAMA
RDTX,Roda Vivatex Tbk,1990-05-14T00:00:00,268800000,Utama
REAL,Repower Asia Indonesia Tbk.,2019-12-06T00:00:00,6633610151,Pengembangan
RELI,Reliance Sekuritas Indonesia T,2005-07-13T00:00:00,1800000000,Utama
RICY,Ricky Putra Globalindo Tbk,1998-01-22T00:00:00,641717510,UTAMA
RIGS,Rig Tenders Indonesia Tbk.,1990-03-05T00:00:00,609130000,Pengembangan
RIMO,Rimo International Lestari Tbk,2000-11-10T00:00:00,45080600000,Pengembangan
RISE,Jaya Sukses Makmur Sentosa Tbk,2018-07-09T00:00:00,10945000000,Pengembangan
RMBA,Bentoel Internasional Investam,1990-03-05T00:00:00,36401136250,Utama
RMKE,RMK Energy Tbk.,2021-12-07T00:00:00,4375000000,Utama
ROCK,Rockfields Properti Indonesia ,2020-09-10T00:00:00,1435185100,Pengembangan
RODA,Pikko Land Development Tbk.,2001-10-22T00:00:00,13592128209,Pengembangan
RONY,Aesler Grup Internasional Tbk.,2020-04-09T00:00:00,1250000000,Pengembangan
ROTI,Nippon Indosari Corpindo Tbk.,2010-06-28T00:00:00,6186488888,Utama
RSGK,Kedoya Adyaraya Tbk.,2021-09-08T00:00:00,929675000,Utama
RUIS,Radiant Utama Interinsco Tbk.,2006-07-12T00:00:00,770000000,Pengembangan
RUNS,Global Sukses Solusi Tbk.,2021-09-08T00:00:00,983557875,Akselerasi
SAFE,Steady Safe Tbk,1994-08-15T00:00:00,615145012,PENGEMBANGAN
SAME,Sarana Meditama Metropolitan T,2013-01-11T00:00:00,17113987263,Pengembangan
SAMF,Saraswanti Anugerah Makmur Tbk,2020-03-31T00:00:00,5125000000,Utama
SAPX,Satria Antaran Prima Tbk.,2018-10-03T00:00:00,833333300,Pengembangan
SATU,Kota Satu Properti Tbk.,2018-11-05T00:00:00,1375000000,PENGEMBANGAN
SBAT,Sejahtera Bintang Abadi Textil,2020-04-08T00:00:00,4752933207,Pengembangan
SBMA,Surya Biru Murni Acetylene Tbk,2021-09-08T00:00:00,928400000,Pengembangan
SCCO,Supreme Cable Manufacturing & ,1982-07-20T00:00:00,205583400,UTAMA
SCMA,Surya Citra Media Tbk.,2002-07-16T00:00:00,73895456505,Utama
SCNP,Selaras Citra Nusantara Perkas,2020-09-07T00:00:00,2500000000,Pengembangan
SCPI,Organon Pharma Indonesia Tbk.,1990-06-08T00:00:00,3600000,PENGEMBANGAN
SDMU,Sidomulyo Selaras Tbk.,2011-07-12T00:00:00,1135225000,Pengembangan
SDPC,Millennium Pharmacon Internati,1990-05-07T00:00:00,1274000000,Utama
SDRA,Bank Woori Saudara Indonesia 1,2006-12-15T00:00:00,8482552020,Utama
SFAN,Surya Fajar Capital Tbk.,2019-06-19T00:00:00,1359934021,Pengembangan
SGER,Sumber Global Energy Tbk.,2020-08-10T00:00:00,1959408119,Pengembangan
