id,group
AALI,Perusahaan
mario casimirus surung gultom,Orang
santosa,Orang
muhammad hadi sugeng wahyudiono,Orang
rujito purnomo,Orang
nico tahir,Orang
said fakhrullazi,Orang
eko prasetyo,Orang
chiew sin cheok,Orang
johannes loman,Orang
sidharta utama,Orang
aridono sukmanto,Orang
lindawati gani,Orang
budi frensidy,Orang
pt astra international tbk,Orang
ABBA,Perusahaan
s. pramudityo anggoro,Orang
adrian syarkawi,Orang
troy reza warokka,Orang
r. harry zulnardy,Orang
rudy setia laksmana,Orang
harry danui,Orang
otto eduard sitorus,Orang
zaki zulfikar,Orang
pt beyond media,Orang
peak holdings luxembourg s.a.r.l,Orang
ADHI,Perusahaan
farid budiyanto,Orang
entus asnawi mukhson,Orang
a. suko widigdo,Orang
pundjung setya brata,Orang
vera kirana,Orang
a.a.g. agung dharmawan,Orang
agus karianto,Orang
dody usodo hargo,Orang
hironimus hilapok,Orang
abdul muni,Orang
cahyo r. muzhar,Orang
widiarto,Orang
yustinus prastowo,Orang
taufik hidayat,Orang
ratna wardhani,Orang
ACST,Perusahaan
maria cesilia hapsari,Orang
idot supriadi,Orang
hilarius arwandhi,Orang
david widjaja,Orang
yohanes eka prayuda,Orang
djoko prabowo,Orang
frans kesuma,Orang
iwan hadiantoro,Orang
tan tiam seng ronnie,Orang
buntoro muljono,Orang
wiltarsa halim ,Orang
wiltarsa halim,Orang
handy effendi halim,Orang
pt karya supra perkasa,Orang
ADES,Perusahaan
thomas maria wisnu adjie,Orang
wihardjo hadiseputro,Orang
th.m. wisnu adjie ,Orang
hanjaya limanto,Orang
danny yuwono,Orang
miscellia dotulong,Orang
miscellia dotulong ,Orang
christine ,Orang
zulbahri ,Orang
"water partners bottling, sa",Orang
ADMF,Perusahaan
perry barman slangor,Orang
hafid hadeli,Orang
ho lioeng min,Orang
i dewa made susila,Orang
swandajani gunadi,Orang
niko kurniawan bonggowarsito,Orang
harry latif,Orang
jin yoshida,Orang
yasushi itagaki,Orang
krisna wijaya,Orang
manggi taruna habir,Orang
eng heng nee philip,Orang
muliadi rahardja,Orang
congsin congcar,Orang
lungguk gultom,Orang
jusuf sukiman,Orang
pt bank danamon indonesia tbk,Orang
AIMS,Perusahaan
heriman setyabudi,Orang
ramono sukadis,Orang
m. aditya hutama putra,Orang
paido sahala marulitua,Orang
andree djayaprawira,Orang
megah supratiwi,Orang
hendri guntara,Orang
elisabeth puji lestari,Orang
ananda surja,Orang
effendi leman,Orang
pt. aims indo investama,Orang
"paido s.m panggabean, se",Orang
AISA,Perusahaan
michael h. hadylaya,Orang
lim aun seng,Orang
charlie dhungga,Orang
nanang rismadi,Orang
agung c. kusumo,Orang
hengky koestanto,Orang
jaka prasetya,Orang
grant lutz,Orang
"komjen (purn) dr. drs. h. ito sumardi d.s., s.h., m.h., m.m., m.b.a.",Orang
"ir. r. benny wachjudi, mba",Orang
"ir. r. benny wachjudi, mba.",Orang
rachmad,Orang
budiman arpan,Orang
pt asta askara sentosa,Orang
pt pangan sejahtera investama,Orang
ALKA,Perusahaan
fendra hartanto,Orang
sucipto tanro,Orang
nurtavip sucipto,Orang
peng tjoan,Orang
bambang rahardja burhan,Orang
