code,name
BQ,KOREA INVESTMENT AND SEKURITAS INDONESIA
YJ,LOTUS ANDALAN SEKURITAS
RX,MACQUARIE SEKURITAS INDONESIA
XL,MAHAKARYA ARTHA SEKURITAS
GI,MAHASTRA ANDALAN SEKURITAS
DD,MAKINDO SEKURITAS
CC,MANDIRI SEKURITAS
DM,MASINDO ARTHA SEKURITAS
ZP,MAYBANK SEKURITAS INDONESIA
CD,MEGA CAPITAL SEKURITAS
MU,MINNA PADI INVESTAMA SEKURITAS TBK
YP,MIRAE ASSET SEKURITAS INDONESIA
EP,MNC SEKURITAS
OK,NET SEKURITAS
XA,NH KORINDO SEKURITAS INDONESIA
RB,NIKKO SEKURITAS INDONESIA
RO,NILAI INTI SEKURITAS
TP,OCBC SEKURITAS INDONESIA
IH,PACIFIC 2000 SEKURITAS
AP,PACIFIC SEKURITAS INDONESIA
PG,PANCA GLOBAL SEKURITAS
GR,PANIN SEKURITAS TBK.
PS,PARAMITRA ALFA SEKURITAS
KK,PHILLIP SEKURITAS INDONESIA
AT,PHINTRACO SEKURITAS
PO,PILARMAS INVESTINDO SEKURITAS
RG,PROFINDO SEKURITAS INDONESIA
LS,RELIANCE SEKURITAS INDONESIA TBK.
DR,RHB SEKURITAS INDONESIA
LH,ROYAL INVESTIUM SEKURITAS 
IF,SAMUEL SEKURITAS  INDONESIA
MG,SEMESTA INDOVEST SEKURITAS
AH,SHINHAN SEKURITAS INDONESIA
DH,SINARMAS SEKURITAS
AZ,SUCOR SEKURITAS
SS,SUPRA SEKURITAS INDONESIA
SF,SURYA FAJAR SEKURITAS
LG,TRIMEGAH SEKURITAS INDONESIA TBK.
BR,TRUST SEKURITAS
AK,UBS SEKURITAS INDONESIA
TF,UNIVERSAL BROKER INDONESIA SEKURITAS
AI,UOB KAY HIAN SEKURITAS
CP,VALBURY SEKURITAS INDONESIA
BB,VERDHANA SEKURITAS INDONESIA
MI,VICTORIA SEKURITAS INDONESIA
AN,WANTEG SEKURITAS
FZ,WATERFRONT SEKURITAS INDONESIA
FS,YUANTA SEKURITAS INDONESIA
RS,YULIE SEKURITAS INDONESIA TBK.
